date,coverage_pct,verified,skipped,sold_new
2026-04-13,64.6,4443,2440,18
2026-04-13,79.2,5468,1438,34
2026-04-13,76.2,5214,1633,1
2026-04-13,67.4,4611,2235,1
2026-04-13,84.5,5783,1062,3
2026-04-13,69.6,4759,2083,1
2026-04-13,90.6,6198,643,6
2026-04-13,69.5,4770,2094,10
2026-04-15,98.8,6937,85,143
2026-04-15,74.9,5155,1725,7
2026-04-16,57.5,3959,2928,15
2026-04-16,82.1,5655,1233,15
2026-04-16,64.6,4458,2443,21
2026-04-16,68.0,4700,2210,27
2026-04-17,77.4,5341,1556,7
2026-04-17,70.6,4875,2032,18
2026-04-17,71.9,4971,1945,9
2026-04-17,73.7,5101,1823,39
2026-04-18,88.3,6085,806,4
2026-04-18,70.6,4893,2037,53
2026-04-18,70.3,4854,2051,9
2026-04-19,79.1,5462,1441,16
2026-04-19,60.6,4181,2716,3
2026-04-19,65.0,4505,2423,25
2026-04-19,69.2,4794,2137,40
2026-04-20,63.3,4375,2534,7
2026-04-20,72.2,4997,1920,13
2026-04-20,65.7,4572,2391,53
2026-04-21,73.3,5072,1844,5
2026-04-21,82.4,5717,1222,12
2026-04-21,90.7,6312,644,31
2026-04-21,67.4,4700,2273,30
2026-04-22,70.6,4894,2035,4
2026-04-22,68.1,4730,2215,7
2026-04-24,74.2,4600,1600,181
2026-04-25,73.5,5000,1800,71
2026-04-25,73.5,5000,1800,15
